G_tx_db,G_rx_db,angle_deg,modulation_qam,received_power,file_name
46,46,-9,16,1.063494939785097e-08,AngularComm_16QAM_300GHz_46-46_-9deg_000.mat
46,46,0,16,0.00019616407176805892,AngularComm_16QAM_300GHz_46-46_0deg_000.mat
46,46,12,16,5.908218543535748e-09,AngularComm_16QAM_300GHz_46-46_12deg_000.mat
46,46,15,16,3.1279210423717388e-09,AngularComm_16QAM_300GHz_46-46_15deg_000.mat
46,46,18,16,2.5814044288854278e-09,AngularComm_16QAM_300GHz_46-46_18deg_000.mat
46,46,21,16,1.4012641097571328e-09,AngularComm_16QAM_300GHz_46-46_21deg_000.mat
46,46,24,16,1.4985187534929049e-09,AngularComm_16QAM_300GHz_46-46_24deg_000.mat
46,46,27,16,1.4328093078758016e-09,AngularComm_16QAM_300GHz_46-46_27deg_000.mat
46,46,30,16,1.6114938412615004e-09,AngularComm_16QAM_300GHz_46-46_30deg_000.mat
46,46,3,16,9.149959513503228e-08,AngularComm_16QAM_300GHz_46-46_3deg_000.mat
46,46,6,16,1.265310703173413e-08,AngularComm_16QAM_300GHz_46-46_6deg_000.mat
46,46,9,16,8.143531806637112e-09,AngularComm_16QAM_300GHz_46-46_9deg_000.mat
46,46,-12,2,5.319273412146905e-09,AngularComm_2QAM_300GHz_46-46_-12deg_000.mat
46,46,-15,2,3.590522939759458e-09,AngularComm_2QAM_300GHz_46-46_-15deg_000.mat
46,46,-18,2,3.8839909974861475e-09,AngularComm_2QAM_300GHz_46-46_-18deg_000.mat
46,46,-21,2,4.01235096099823e-09,AngularComm_2QAM_300GHz_46-46_-21deg_000.mat
46,46,-24,2,2.3646173057730507e-09,AngularComm_2QAM_300GHz_46-46_-24deg_000.mat
46,46,-27,2,1.8545162687253919e-09,AngularComm_2QAM_300GHz_46-46_-27deg_000.mat
46,46,-30,2,1.3835325727607016e-09,AngularComm_2QAM_300GHz_46-46_-30deg_001.mat
